image,emotion
SADNESS/sadness (4386).jpg,6
HAPPINESS/happiness (6261).jpg,4
NEUTRAL/neutral (3240).png,5
FEAR/fear (48).png,3
Alejandro_Toledo_0003.jpg,5
DISGUST/disgust (2797).jpg,2
HAPPINESS/happiness (5680).jpg,4
SURPRISE/surprise (6024).jpg,7
NEUTRAL/neutral (906).jpg,5
HAPPINESS/happiness (1383).png,4
HAPPINESS/happiness (1564).jpg,4
SADNESS/sadness (1647).jpg,6
HAPPINESS/happiness (3781).jpg,4
CONTEMPT/contempt (2570).jpg,1
SURPRISE/surprise (49).jpg,7
HAPPINESS/happiness (4215).png,4
Pierce_Brosnan_0015.jpg,5
John_Negroponte_0013.jpg,5
CONTEMPT/contempt (619).jpg,1
HAPPINESS/happiness (3891).jpg,4
SADNESS/sadness (1885).jpg,6
HAPPINESS/happiness (4382).png,4
CONTEMPT/contempt (2042).jpg,1
ANGER/anger (4120).jpg,0
Rudolph_Giuliani_0018.jpg,4
CONTEMPT/contempt (2571).jpg,1
SURPRISE/surprise (1417).jpg,7
NEUTRAL/neutral (1058).jpg,5
HAPPINESS/happiness (3649).jpg,4
HAPPINESS/happiness (6485).jpg,4
NEUTRAL/neutral (5028).jpg,5
HAPPINESS/happiness (1618).jpg,4
George_W_Bush_0129.jpg,5
Joe_Dumars_0002.jpg,4
NEUTRAL/neutral (2420).jpg,5
CONTEMPT/contempt (29).jpg,1
ANGER/anger (5975).jpg,0
DISGUST/disgust (3270).jpg,2
NEUTRAL/neutral (89).jpg,5
SURPRISE/surprise (4462).jpg,7
Kim_Cattrall_0001.jpg,4
CONTEMPT/contempt (1555).jpg,1
DISGUST/disgust (1035).jpg,2
ANGER/anger (1075).jpg,0
HAPPINESS/happiness (44).png,4
NEUTRAL/neutral (2553).jpg,5
FEAR/fear (4262).jpg,3
NEUTRAL/neutral (4031).png,5
ANGER/anger (5156).jpg,0
FEAR/fear (64).png,3
Ralf_Schumacher_0005.jpg,5
HAPPINESS/happiness (8267).png,4
NEUTRAL/neutral (4281).jpg,5
Elizabeth_Taylor_0001.jpg,4
NEUTRAL/neutral (11).png,5
HAPPINESS/happiness (4257).jpg,4
CONTEMPT/contempt (135).jpg,1
SURPRISE/surprise (5972).jpg,7
ANGER/anger (2264).jpg,0
HAPPINESS/happiness (6144).jpg,4
HAPPINESS/happiness (3898).jpg,4
HAPPINESS/happiness (118).jpg,4
NEUTRAL/neutral (3488).jpg,5
CONTEMPT/contempt (2589).jpg,1
DISGUST/disgust (3714).jpg,2
NEUTRAL/neutral (3678).jpg,5
CONTEMPT/contempt (1992).jpg,1
ANGER/anger (4694).jpg,0
SURPRISE/surprise (4464).jpg,7
HAPPINESS/happiness (3600).jpg,4
HAPPINESS/happiness (5526).jpg,4
DISGUST/disgust (2191).jpg,2
HAPPINESS/happiness (3495).jpg,4
SURPRISE/surprise (4812).jpg,7
HAPPINESS/happiness (7393).png,4
Gerald_Riley_0001.jpg,5
NEUTRAL/neutral (1917).png,5
CONTEMPT/contempt (1354).jpg,1
NEUTRAL/neutral (3182).jpg,5
DISGUST/disgust (2439).jpg,2
NEUTRAL/neutral (4296).jpg,5
NEUTRAL/neutral (2598).png,5
ANGER/anger (4933).jpg,0
SURPRISE/surprise (6070).jpg,7
Andy_Roddick_0002.jpg,4
HAPPINESS/happiness (3691).jpg,4
Jesse_Harris_0001.jpg,4
NEUTRAL/neutral (588).jpg,5
Franco_Frattini_0001.jpg,5
Clint_Eastwood_0003.jpg,5
HAPPINESS/happiness (5988).png,4
SURPRISE/surprise (2792).jpg,7
FEAR/fear (881).jpg,3
SADNESS/sadness (2900).png,6
Anibal_Ibarra_0001.jpg,4
SADNESS/sadness (5613).jpg,6
Lindsay_Davenport_0021.jpg,4
CONTEMPT/contempt (577).jpg,1
SURPRISE/surprise (5872).jpg,7
Vladimir_Putin_0021.jpg,5
ANGER/anger (131).jpg,0
HAPPINESS/happiness (5281).jpg,4
SADNESS/sadness (5759).jpg,6
Win_Aung_0002.jpg,5
SURPRISE/surprise (3814).jpg,7
CONTEMPT/contempt (2777).jpg,1
CONTEMPT/contempt (237).jpg,1
Oxana_Fedorova_0001.jpg,4
NEUTRAL/neutral (2061).jpg,5
SADNESS/sadness (5388).jpg,6
HAPPINESS/happiness (4432).jpg,4
SADNESS/sadness (4206).jpg,6
SADNESS/sadness (5115).jpg,6
SURPRISE/surprise (119).png,7
NEUTRAL/neutral (2385).jpg,5
CONTEMPT/contempt (2326).jpg,1
ANGER/anger (4810).jpg,0
Yann_Martel_0001.jpg,5
DISGUST/disgust (1713).jpg,2
ANGER/anger (4373).jpg,0
FEAR/fear (619).jpg,3
FEAR/fear (5149).jpg,3
CONTEMPT/contempt (13).jpg,1
Gloria_Macapagal_Arroyo_0042.jpg,4
NEUTRAL/neutral (4206).jpg,5
NEUTRAL/neutral (2596).jpg,5
CONTEMPT/contempt (217).png,1
NEUTRAL/neutral (4272).jpg,5
CONTEMPT/contempt (223).jpg,1
NEUTRAL/neutral (4386).png,5
DISGUST/disgust (1344).jpg,2
HAPPINESS/happiness (287).jpg,4
NEUTRAL/neutral (1718).jpg,5
Lleyton_Hewitt_0016.jpg,4
HAPPINESS/happiness (4775).png,4
SURPRISE/surprise (5548).jpg,7
Cristina_Saralegui_0002.jpg,4
FEAR/fear (2856).jpg,3
DISGUST/disgust (2654).jpg,2
ANGER/anger (2036).jpg,0
NEUTRAL/neutral (1754).jpg,5
NEUTRAL/neutral (3302).png,5
Tom_Ridge_0019.jpg,5
HAPPINESS/happiness (1571).png,4
CONTEMPT/contempt (2007).jpg,1
NEUTRAL/neutral (3243).png,5
Megan_Mullally_0003.jpg,4
DISGUST/disgust (2324).jpg,2
NEUTRAL/neutral (4877).jpg,5
DISGUST/disgust (2598).jpg,2
CONTEMPT/contempt (2044).jpg,1
SURPRISE/surprise (5894).jpg,7
SURPRISE/surprise (1470).jpg,7
NEUTRAL/neutral (2725).jpg,5
SADNESS/sadness (2850).jpg,6
HAPPINESS/happiness (4640).jpg,4
Gloria_Macapagal_Arroyo_0036.jpg,4
Megawati_Sukarnoputri_0016.jpg,4
Valentino_Rossi_0003.jpg,4
SADNESS/sadness (103).jpg,6
FEAR/fear (2404).jpg,3
Julianna_Margulies_0002.jpg,4
HAPPINESS/happiness (4197).jpg,4
NEUTRAL/neutral (805).jpg,5
SADNESS/sadness (4233).jpg,6
HAPPINESS/happiness (4524).png,4
CONTEMPT/contempt (2568).jpg,1
Luciano_Pavarotti_0003.jpg,4
SURPRISE/surprise (1492).jpg,7
SADNESS/sadness (2998).jpg,6
NEUTRAL/neutral (2688).png,5
DISGUST/disgust (561).jpg,2
DISGUST/disgust (1106).jpg,2
DISGUST/disgust (2806).jpg,2
NEUTRAL/neutral (2037).png,5
ANGER/anger (5028).jpg,0
ANGER/anger (2016).jpg,0
SURPRISE/surprise (4852).jpg,7
NEUTRAL/neutral (5267).jpg,5
NEUTRAL/neutral (1501).jpg,5
HAPPINESS/happiness (7094).png,4
Carlos_Bianchi_0001.jpg,4
SURPRISE/surprise (3868).jpg,7
John_Malkovich_0001.jpg,4
CONTEMPT/contempt (267).jpg,1
ANGER/anger (5081).jpg,0
Oscar_De_La_Hoya_0004.jpg,4
HAPPINESS/happiness (5991).jpg,4
NEUTRAL/neutral (1376).jpg,5
DISGUST/disgust (2667).jpg,2
SURPRISE/surprise (1517).jpg,7
NEUTRAL/neutral (3783).jpg,5
DISGUST/disgust (2481).jpg,2
NEUTRAL/neutral (74).jpg,5
HAPPINESS/happiness (3826).jpg,4
CONTEMPT/contempt (1524).jpg,1
ANGER/anger (1517).jpg,0
NEUTRAL/neutral (3792).jpg,5
John_Snow_0009.jpg,5
ANGER/anger (701).jpg,0
NEUTRAL/neutral (4738).jpg,5
CONTEMPT/contempt (559).jpg,1
HAPPINESS/happiness (2923).jpg,4
NEUTRAL/neutral (275).png,5
CONTEMPT/contempt (2120).jpg,1
King_Bhumibol_Adulyadej_0001.jpg,5
HAPPINESS/happiness (126).jpg,4
Donna_Morrissey_0001.jpg,5
FEAR/fear (2682).jpg,3
NEUTRAL/neutral (2377).png,5
CONTEMPT/contempt (1720).jpg,1
DISGUST/disgust (2490).jpg,2
Gerard_Depardieu_0002.jpg,5
NEUTRAL/neutral (4778).jpg,5
NEUTRAL/neutral (2087).png,5
Jonathan_Mostow_0002.jpg,4
HAPPINESS/happiness (3111).jpg,4
HAPPINESS/happiness (3309).jpg,4
Edmund_Stoiber_0008.jpg,4
CONTEMPT/contempt (472).jpg,1
NEUTRAL/neutral (1132).jpg,5
HAPPINESS/happiness (5418).jpg,4
HAPPINESS/happiness (3566).jpg,4
ANGER/anger (1296).jpg,0
HAPPINESS/happiness (5589).png,4
NEUTRAL/neutral (4182).jpg,5
CONTEMPT/contempt (2353).jpg,1
NEUTRAL/neutral (3295).png,5
Wu_Peng_0001.jpg,5
FEAR/fear (3344).jpg,3
NEUTRAL/neutral (4351).jpg,5
James_Phelps_0001.jpg,4
HAPPINESS/happiness (2255).png,4
DISGUST/disgust (2480).jpg,2
Claudine_Farrell_0001.jpg,4
SADNESS/sadness (3509).jpg,6
SADNESS/sadness (1523).jpg,6
HAPPINESS/happiness (5410).jpg,4
HAPPINESS/happiness (5412).png,4
HAPPINESS/happiness (6593).jpg,4
ANGER/anger (1427).jpg,0
FEAR/fear (678).jpg,3
CONTEMPT/contempt (2070).jpg,1
SADNESS/sadness (4508).jpg,6
DISGUST/disgust (3832).jpg,2
HAPPINESS/happiness (1063).jpg,4
NEUTRAL/neutral (3156).jpg,5
NEUTRAL/neutral (289).jpg,5
HAPPINESS/happiness (3390).jpg,4
Gavin_Degraw_0001.jpg,4
DISGUST/disgust (691).jpg,2
NEUTRAL/neutral (5465).jpg,5
HAPPINESS/happiness (3787).jpg,4
Hal_Gehman_0003.jpg,5
NEUTRAL/neutral (86).jpg,5
NEUTRAL/neutral (5383).jpg,5
Thomas_Wyman_0002.jpg,5
DISGUST/disgust (907).jpg,2
SURPRISE/surprise (595).png,7
NEUTRAL/neutral (1015).jpg,5
FEAR/fear (908).jpg,3
Bob_Huggins_0001.jpg,0
HAPPINESS/happiness (6801).png,4
Chen_Tsai-chin_0001.jpg,5
SADNESS/sadness (5670).jpg,6
FEAR/fear (4188).jpg,3
ANGER/anger (1392).jpg,0
HAPPINESS/happiness (6183).jpg,4
NEUTRAL/neutral (4612).png,5
HAPPINESS/happiness (3059).png,4
DISGUST/disgust (1741).jpg,2
SADNESS/sadness (32).png,6
Ari_Fleischer_0002.jpg,5
DISGUST/disgust (1952).jpg,2
FEAR/fear (4310).jpg,3
CONTEMPT/contempt (2350).jpg,1
NEUTRAL/neutral (3034).png,5
DISGUST/disgust (2438).jpg,2
ANGER/anger (5612).jpg,0
FEAR/fear (1884).jpg,3
HAPPINESS/happiness (3027).png,4
NEUTRAL/neutral (3004).jpg,5
Colin_Powell_0027.jpg,5
Laura_Schlessinger_0001.jpg,4
CONTEMPT/contempt (972).jpg,1
CONTEMPT/contempt (106).jpg,1
NEUTRAL/neutral (1648).jpg,5
HAPPINESS/happiness (5228).png,4
HAPPINESS/happiness (5234).png,4
SURPRISE/surprise (219).png,7
NEUTRAL/neutral (2547).jpg,5
Fayssal_Mekdad_0004.jpg,5
ANGER/anger (5678).jpg,0
NEUTRAL/neutral (1411).jpg,5
FEAR/fear (53).png,3
NEUTRAL/neutral (2892).jpg,5
FEAR/fear (2076).jpg,3
HAPPINESS/happiness (5111).jpg,4
HAPPINESS/happiness (4993).jpg,4
NEUTRAL/neutral (4066).jpg,5
HAPPINESS/happiness (802).png,4
NEUTRAL/neutral (1037).jpg,5
NEUTRAL/neutral (2526).jpg,5
Robert_Kocharian_0001.jpg,4
HAPPINESS/happiness (6028).jpg,4
NEUTRAL/neutral (2488).jpg,5
NEUTRAL/neutral (3698).png,5
HAPPINESS/happiness (6197).jpg,4
ANGER/anger (2909).jpg,0
DISGUST/disgust (4417).jpg,2
HAPPINESS/happiness (4398).jpg,4
NEUTRAL/neutral (1787).jpg,5
Brian_Pavlich_0001.jpg,5
HAPPINESS/happiness (4128).jpg,4
DISGUST/disgust (2684).jpg,2
CONTEMPT/contempt (711).jpg,1
CONTEMPT/contempt (2199).jpg,1
NEUTRAL/neutral (1908).png,5
George_W_Bush_0139.jpg,5
DISGUST/disgust (3241).jpg,2
NEUTRAL/neutral (4596).jpg,5
CONTEMPT/contempt (854).jpg,1
Sarah_Canale_0001.jpg,5
DISGUST/disgust (1197).jpg,2
SADNESS/sadness (4657).jpg,6
FEAR/fear (2748).jpg,3
CONTEMPT/contempt (2226).jpg,1
FEAR/fear (2827).jpg,3
NEUTRAL/neutral (102).png,5
Jean_Chretien_0040.jpg,5
SADNESS/sadness (1237).jpg,6
Brandon_Robinson_0001.jpg,5
DISGUST/disgust (754).jpg,2
HAPPINESS/happiness (7904).png,4
CONTEMPT/contempt (2617).jpg,1
FEAR/fear (3998).jpg,3
Boris_Yeltsin_0001.jpg,4
NEUTRAL/neutral (97).jpg,5
SADNESS/sadness (5298).jpg,6
SURPRISE/surprise (1542).jpg,7
Derek_Parra_0001.jpg,4
Kenenisa_Bekele_0001.jpg,5
NEUTRAL/neutral (1493).jpg,5
CONTEMPT/contempt (2816).jpg,1
SADNESS/sadness (1792).jpg,6
HAPPINESS/happiness (3665).jpg,4
HAPPINESS/happiness (6547).jpg,4
FEAR/fear (5260).jpg,3
HAPPINESS/happiness (6226).jpg,4
CONTEMPT/contempt (252).jpg,1
ANGER/anger (62).jpg,0
NEUTRAL/neutral (2984).jpg,5
CONTEMPT/contempt (1918).jpg,1
CONTEMPT/contempt (1013).jpg,1
Doug_Wilson_0001.jpg,4
Luis_Guzman_0001.jpg,5
DISGUST/disgust (2952).jpg,2
NEUTRAL/neutral (4087).jpg,5
Paul_ONeill_0004.jpg,5
NEUTRAL/neutral (4750).jpg,5
SADNESS/sadness (4480).jpg,6
Tanya_Lindenmuth_0001.jpg,5
FEAR/fear (73).jpg,3
SADNESS/sadness (120).jpg,6
NEUTRAL/neutral (3343).jpg,5
FEAR/fear (2447).jpg,3
NEUTRAL/neutral (4594).png,5
HAPPINESS/happiness (2231).png,4
HAPPINESS/happiness (5573).jpg,4
Tang_Jiaxuan_0009.jpg,5
NEUTRAL/neutral (4245).png,5
NEUTRAL/neutral (1151).jpg,5
FEAR/fear (59).jpg,3
NEUTRAL/neutral (2532).jpg,5
SADNESS/sadness (2294).jpg,6
NEUTRAL/neutral (4028).jpg,5
CONTEMPT/contempt (1051).jpg,1
NEUTRAL/neutral (1765).jpg,5
SADNESS/sadness (64).jpg,6
SADNESS/sadness (2638).jpg,6
NEUTRAL/neutral (2719).jpg,5
CONTEMPT/contempt (961).jpg,1
Rupert_Grint_0003.jpg,4
Terunobu_Maeda_0001.jpg,5
Pete_Sampras_0021.jpg,5
SURPRISE/surprise (3863).jpg,7
George_W_Bush_0258.jpg,5
CONTEMPT/contempt (2747).jpg,1
SURPRISE/surprise (3496).png,7
CONTEMPT/contempt (866).jpg,1
CONTEMPT/contempt (2667).jpg,1
SADNESS/sadness (47).png,6
HAPPINESS/happiness (7800).png,4
NEUTRAL/neutral (4433).jpg,5
Joseph_Ganim_0001.jpg,5
SADNESS/sadness (3433).jpg,6
FEAR/fear (5519).jpg,3
CONTEMPT/contempt (893).jpg,1
CONTEMPT/contempt (2203).jpg,1
SADNESS/sadness (3365).jpg,6
HAPPINESS/happiness (2273).jpg,4
Grady_Irvin_Jr_0001.jpg,5
HAPPINESS/happiness (6492).jpg,4
HAPPINESS/happiness (2848).jpg,4
FEAR/fear (2373).jpg,3
HAPPINESS/happiness (4453).jpg,4
Turner_Stevenson_0001.jpg,4
ANGER/anger (2388).jpg,0
SURPRISE/surprise (1097).jpg,7
HAPPINESS/happiness (2218).jpg,4
DISGUST/disgust (3552).jpg,2
NEUTRAL/neutral (1958).jpg,5
NEUTRAL/neutral (2791).jpg,5
HAPPINESS/happiness (5807).jpg,4
HAPPINESS/happiness (4007).jpg,4
CONTEMPT/contempt (889).jpg,1
NEUTRAL/neutral (3648).jpg,5
DISGUST/disgust (3064).jpg,2
Lynn_Redgrave_0002.jpg,4
CONTEMPT/contempt (554).jpg,1
Norbert_van_Heyst_0001.jpg,4
Max_Biaggi_0001.jpg,4
FEAR/fear (1510).jpg,3
FEAR/fear (2295).jpg,3
SADNESS/sadness (2155).jpg,6
Jenna_Elfman_0001.jpg,4
Fidel_Castro_0013.jpg,5
ANGER/anger (77).jpg,0
Jesse_Jackson_0007.jpg,5
Joschka_Fischer_0016.jpg,5
Harrison_Ford_0004.jpg,4
FEAR/fear (2985).jpg,3
ANGER/anger (4736).jpg,0
HAPPINESS/happiness (2167).png,4
HAPPINESS/happiness (2833).jpg,4
HAPPINESS/happiness (6624).jpg,4
DISGUST/disgust (3289).jpg,2
SADNESS/sadness (1657).jpg,6
SADNESS/sadness (2105).jpg,6
DISGUST/disgust (2582).jpg,2
NEUTRAL/neutral (35).png,5
Jana_Pittman_0001.jpg,4
George_W_Bush_0456.jpg,5
Geoff_Hoon_0003.jpg,5
FEAR/fear (975).jpg,3
DISGUST/disgust (2757).jpg,2
HAPPINESS/happiness (2583).jpg,4
HAPPINESS/happiness (3350).jpg,4
NEUTRAL/neutral (1702).jpg,5
HAPPINESS/happiness (3894).jpg,4
NEUTRAL/neutral (2246).jpg,5
Ariel_Sharon_0059.jpg,5
SADNESS/sadness (2439).jpg,6
NEUTRAL/neutral (4249).jpg,5
HAPPINESS/happiness (5868).png,4
NEUTRAL/neutral (971).jpg,5
NEUTRAL/neutral (864).png,5
NEUTRAL/neutral (2970).jpg,5
SURPRISE/surprise (5955).jpg,7
NEUTRAL/neutral (3833).jpg,5
SADNESS/sadness (3780).jpg,6
Gary_Gitnick_0001.jpg,4
Ariel_Sharon_0053.jpg,4
CONTEMPT/contempt (1598).jpg,1
CONTEMPT/contempt (2427).jpg,1
HAPPINESS/happiness (4330).png,4
NEUTRAL/neutral (1857).jpg,5
Nia_Vardalos_0001.jpg,4
HAPPINESS/happiness (110).jpg,4
ANGER/anger (5542).jpg,0
Platon_Lebedev_0001.jpg,5
HAPPINESS/happiness (967).png,4
SURPRISE/surprise (5535).jpg,7
CONTEMPT/contempt (2256).jpg,1
DISGUST/disgust (2491).jpg,2
CONTEMPT/contempt (1569).jpg,1
SURPRISE/surprise (1898).jpg,7
Kim_Ryong-sung_0001.jpg,4
NEUTRAL/neutral (22).png,5
Jacques_Chirac_0028.jpg,5
Gary_Winnick_0001.jpg,4
Frank_Zappa_0001.jpg,4
Billy_Tibbets_0001.jpg,4
ANGER/anger (5113).jpg,0
DISGUST/disgust (1967).jpg,2
ANGER/anger (5351).jpg,0
DISGUST/disgust (1144).jpg,2
NEUTRAL/neutral (115).png,5
Gloria_Macapagal_Arroyo_0044.jpg,4
FEAR/fear (4287).jpg,3
NEUTRAL/neutral (1621).jpg,5
HAPPINESS/happiness (5773).jpg,4
NEUTRAL/neutral (5566).jpg,5
HAPPINESS/happiness (4307).jpg,4
NEUTRAL/neutral (4033).jpg,5
ANGER/anger (5003).jpg,0
DISGUST/disgust (1712).jpg,2
HAPPINESS/happiness (3004).jpg,4
NEUTRAL/neutral (2430).png,5
CONTEMPT/contempt (1508).jpg,1
SURPRISE/surprise (12).png,7
NEUTRAL/neutral (3742).jpg,5
ANGER/anger (4680).png,0
CONTEMPT/contempt (658).jpg,1
SURPRISE/surprise (3397).jpg,7
CONTEMPT/contempt (2677).jpg,1
ANGER/anger (20).png,0
FEAR/fear (3876).jpg,3
FEAR/fear (1359).jpg,3
Noelle_Bush_0004.jpg,5
HAPPINESS/happiness (3209).png,4
HAPPINESS/happiness (1902).jpg,4
HAPPINESS/happiness (5314).jpg,4
NEUTRAL/neutral (2627).jpg,5
FEAR/fear (3361).jpg,3
CONTEMPT/contempt (181).png,1
DISGUST/disgust (3300).jpg,2
FEAR/fear (1812).jpg,3
HAPPINESS/happiness (2102).jpg,4
HAPPINESS/happiness (4908).jpg,4
FEAR/fear (3556).jpg,3
Jennifer_Connelly_0002.jpg,5
NEUTRAL/neutral (3540).jpg,5
FEAR/fear (2721).png,3
ANGER/anger (3103).jpg,0
SURPRISE/surprise (5898).jpg,7
SURPRISE/surprise (6067).jpg,7
FEAR/fear (2714).jpg,3
DISGUST/disgust (2789).jpg,2
SADNESS/sadness (57).jpg,6
SURPRISE/surprise (2926).jpg,7
Brian_Kerr_0001.jpg,4
Roh_Moo-hyun_0011.jpg,5
HAPPINESS/happiness (7553).png,4
SADNESS/sadness (1091).jpg,6
HAPPINESS/happiness (6544).jpg,4
NEUTRAL/neutral (2459).jpg,5
SURPRISE/surprise (5712).jpg,7
HAPPINESS/happiness (1740).png,4
FEAR/fear (3694).jpg,3
NEUTRAL/neutral (4301).jpg,5
DISGUST/disgust (24).jpg,2
Ted_Turner_0001.jpg,5
FEAR/fear (3771).jpg,3
HAPPINESS/happiness (7055).png,4
HAPPINESS/happiness (3035).png,4
ANGER/anger (847).jpg,0
SADNESS/sadness (1744).jpg,6
NEUTRAL/neutral (4419).jpg,5
HAPPINESS/happiness (2880).jpg,4
Jennifer_Lopez_0018.jpg,4
SURPRISE/surprise (1599).jpg,7
FEAR/fear (1203).jpg,3
FEAR/fear (4427).jpg,3
Dennis_Erickson_0001.jpg,5
FEAR/fear (1100).jpg,3
ANGER/anger (102).png,0
SADNESS/sadness (3286).jpg,6
NEUTRAL/neutral (382).png,5
Felipe_Perez_Roque_0001.jpg,5
FEAR/fear (4753).jpg,3
HAPPINESS/happiness (5708).png,4
Darrell_Porter_0002.jpg,5
ANGER/anger (4735).jpg,0
NEUTRAL/neutral (4246).png,5
HAPPINESS/happiness (5760).jpg,4
SURPRISE/surprise (5210).jpg,7
ANGER/anger (1720).jpg,0
FEAR/fear (3625).jpg,3
NEUTRAL/neutral (4064).jpg,5
SADNESS/sadness (3101).jpg,6
SADNESS/sadness (3134).jpg,6
Cliff_Ellis_0001.jpg,4
Gerhard_Schroeder_0055.jpg,4
SURPRISE/surprise (4876).jpg,7
ANGER/anger (200).jpg,0
SURPRISE/surprise (15).jpg,7
Shaul_Mofaz_0001.jpg,4
NEUTRAL/neutral (4264).jpg,5
DISGUST/disgust (26).png,2
Dileep_75.jpg,5
Laura_Bush_0038.jpg,4
FEAR/fear (2923).jpg,3
HAPPINESS/happiness (1686).jpg,4
NEUTRAL/neutral (514).jpg,5
SURPRISE/surprise (3463).png,7
HAPPINESS/happiness (1182).png,4
SADNESS/sadness (5796).jpg,6
ANGER/anger (3722).jpg,0
HAPPINESS/happiness (3845).png,4
HAPPINESS/happiness (4098).jpg,4
ANGER/anger (2411).jpg,0
CONTEMPT/contempt (1200).jpg,1
Li_Peng_0003.jpg,4
SURPRISE/surprise (2782).jpg,7
HAPPINESS/happiness (7759).png,4
CONTEMPT/contempt (1227).jpg,1
Albaro_Recoba_0001.jpg,5
Zhu_Rongji_0003.jpg,4
FEAR/fear (3279).jpg,3
HAPPINESS/happiness (6546).jpg,4
Gerry_Adams_0006.jpg,5
HAPPINESS/happiness (2228).png,4
Gerhard_Schroeder_0001.jpg,4
HAPPINESS/happiness (8968).png,4
NEUTRAL/neutral (2433).jpg,5
Megawati_Sukarnoputri_0025.jpg,4
NEUTRAL/neutral (4064).png,5
Robert_Marshall_0001.jpg,5
HAPPINESS/happiness (4642).jpg,4
HAPPINESS/happiness (8794).png,4
NEUTRAL/neutral (125).jpg,5
ANGER/anger (44).png,0
DISGUST/disgust (1415).jpg,2
Michelle_Kwan_0001.jpg,4
CONTEMPT/contempt (2671).jpg,1
Colin_Powell_0059.jpg,5
CONTEMPT/contempt (922).jpg,1
FEAR/fear (5109).jpg,3
DISGUST/disgust (2503).jpg,2
HAPPINESS/happiness (4711).jpg,4
HAPPINESS/happiness (2123).jpg,4
NEUTRAL/neutral (5247).jpg,5
SURPRISE/surprise (3787).jpg,7
Hugo_Chavez_0038.jpg,4
SADNESS/sadness (2034).jpg,6
SADNESS/sadness (53).jpg,6
Bill_Graham_0008.jpg,5
DISGUST/disgust (485).jpg,2
HAPPINESS/happiness (4481).jpg,4
Marcelo_Rios_0005.jpg,5
ANGER/anger (5862).jpg,0
HAPPINESS/happiness (3472).jpg,4
SADNESS/sadness (2930).jpg,6
Saddam_Hussein_0011.jpg,4
HAPPINESS/happiness (1748).jpg,4
Edward_Arsenault_0001.jpg,5
Kathryn_Grayson_0001.jpg,4
SURPRISE/surprise (601).jpg,7
CONTEMPT/contempt (97).jpg,1
NEUTRAL/neutral (721).jpg,5
HAPPINESS/happiness (4315).jpg,4
FEAR/fear (5594).jpg,3
CONTEMPT/contempt (36).jpg,1
HAPPINESS/happiness (8745).png,4
HAPPINESS/happiness (7498).png,4
SURPRISE/surprise (1226).jpg,7
Alejandro_Toledo_0022.jpg,5
HAPPINESS/happiness (1895).png,4
Kristin_Davis_0002.jpg,4
Matt_Anderson_0001.jpg,5
Matt_Damon_0001.jpg,4
FEAR/fear (1769).jpg,3
NEUTRAL/neutral (3813).jpg,5
DISGUST/disgust (4078).jpg,2
DISGUST/disgust (591).jpg,2
SADNESS/sadness (3260).jpg,6
Pervez_Musharraf_0015.jpg,5
SURPRISE/surprise (3253).jpg,7
HAPPINESS/happiness (4578).jpg,4
Jacques_Kallis_0001.jpg,5
